Entités intégrées;Adresse;Mode d'intégration;Date de clôture;Pourcentage de capital détenu;
;;;;;
A - Mandataire(s) (association de financement ou mandataire financier personne physique);;;;;
AFIR (AFEMA);68 rue du Rocher, 75008 Paris;Intégration Globale;31/12/2022;n.a;
B - Entités concernées;;;;;
;;;;;
Référent Ariège;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Aube;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Aude;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Aveyron;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Bouches-du-Rhône;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Calvados;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Cantal;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Charente;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Charente-Maritime;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Cher;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Corrèze;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Corse;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Côte-d'Or;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Côtes d'Armor;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Creuse;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Dordogne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Doubs;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Drôme;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Eure;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Eure-et-Loir;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Finistère;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Gard;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Haute-Garonne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Gers;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Gironde;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Hérault;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Ille-et-Vilaine;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Indre;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Indre-et-Loire;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Isère;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Jura;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Landes;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Loir-et-Cher;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Loire;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Haute-Loire;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Loire-Atlantique;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Loiret;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Lot;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Lot-et-Garonne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Lozère;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Maine-et-Loire;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Manche;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Marne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Haute-Marne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Mayenne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Meurthe-et-Moselle;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Meuse;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Morbihan;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Moselle;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Nièvre;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Nord;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Oise;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Orne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Pas-de-Calais;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Puy-de-Dôme;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Pyrénées-Atlantiques;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Hautes-Pyrénées;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Pyrénées-Orientales;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Bas-Rhin;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Haut-Rhin;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Rhône;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Haute-Saône;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Saône-et-Loire;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Sarthe;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Savoie;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Haute-Savoie;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris Centre;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 5 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 6 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 7 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 8 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 9 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 10 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 11 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 12 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 13 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 14 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 15 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 16 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 17 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 18 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 19 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Paris 20 ème;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Seine-Maritime;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Seine-et-Marne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Yvelines;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
